고정형CCTV지번주소,위도,경도,자치구,단속지점명,현장구분
adres,latitude,longitude,pstinst_cd,reglt_spot_nm,spt_kind_cd
서울 강서구 공항동 60-28,37.55884896513385,126.810537859798,강서구,공항동주민센터 주변,불법주정차구역
서울 강서구 가양동 1484,37.56158707296457,126.85991246117241,강서구,가양초등학교 주변,불법주정차구역
서울 강서구 화곡동 451-23,37.533391855027816,126.85192662385847,강서구,신정초교 후문 주변,불법주정차구역
서울 강서구 방화동 286-25,37.57346346010483,126.81646933629356,강서구,신방화사거리 주변,불법주정차구역
서울 강서구 등촌동 635-4,37.55467618414528,126.86161449230435,강서구,백석초등학교 주변,불법주정차구역
서울 강서구 방화동 563-25,37.57203875948671,126.81146380744452,강서구,방신전통시장 주변,불법주정차구역
서울 강서구 화곡동 59-9,37.54271736914327,126.84676250366971,강서구,화곡초등학교 주변,불법주정차구역
서울 강서구 공항동 1373,37.5588469981143,126.80381648644925,강서구,국내선2층 4번게이트 주변,불법주정차구역
서울 강서구 화곡동 359-59,37.532424676871905,126.83921460215117,강서구,새마을금고 주변,불법주정차구역
서울 강서구 등촌동 647,37.55366722284112,126.86368455037201,강서구,심미에셈빌 주변,불법주정차구역
서울 강서구 마곡동 738,37.56948555886569,126.82537052163286,강서구,마곡엠벨리4단지 정문 주변,불법주정차구역
서울 강서구 내발산동 742,37.55341895555598,126.83027999281192,강서구,수명산파크1단지 주변,불법주정차구역
서울 강서구 공항동 22-30,37.563649262318265,126.8106898229554,강서구,공항시장역 주변,불법주정차구역
서울 강서구 염창동 95-10,37.551526139460925,126.8726852544358,강서구,염동초등학교 주변,불법주정차구역
서울 강서구 등촌동 519-25,37.54715735080633,126.8596990025674,강서구,등촌초등학교 주변,불법주정차구역
